Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Link
nhân viên seo junior full-time 2023,công ty seongon ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẾT HẠN,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN1. Kiến thức chuyên mônKiến thức SEO căn bảnBiết về SEO mũ trắng và SEO tổng thểBiết cơ chế hoạt động của Google (Cách google hoạt động)Đọc và biết về các thuật ngữ SEO cơ bảnKiến thức về công cụ hỗ trợBiết sử dụng các tính năng cơ bản của Seoquake: Kiểm tra title, description, mật độ từ khóa, index .v.v.vBiết sử dụng Web developer để: Kiểm tra Heading, alt ảnh .v.v.vQuản trị Wordpress: Quản trị và sử dụng Yoast SEO gồm title, description, social .v.v.vGoogle Search Console (Submit bài viết và đọc dữ liệu được Google trước khi submit)2. Kỹ năngLàm việc nhómLàm việc độc lậpVăn bản (Word, Excel, Google docs, Google sheets, Powerpoint)Giao tiếp tốt3. Thái độ/Tính cáchTinh thần làm việc trách nhiệmThái độ hoà đồng, phối hợp làm việc nhómLàm việc tập trung, tỉ mỉ, không cẩu thảYêu cầu khác: Có laptop",https://ybox.vn/tuyen-dung/hn-cong-ty-seongon-tuyen-dung-nhan-vien-seo-junior-full-time-2023-6580053352e26b21c33e2420
trợ lý tiếng trung full-time 2023,công ty tnhh công nghệ block dance ,Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 20/1/2024,"Biên, Phiên dịch; Hành chính, Nhân sự; Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNKiến thứcTốt nghiệp Cao đẳng (không yêu cầu chuyên ngành)Giao tiếp lưu loát tiếng Trung (4 kỹ năng: nghe, nói, đọc, đánh máy), từ HSK5 trở lênKinh nghiệmTừ 1 năm trong công việc dịch thuậtKỹ năngKỹ năng giao tiếp, yêu thích trao đổi, giao lưu với người nước ngoàiThái độLuôn có tinh thần chủ động học hỏiChịu được áp lực caoKhácĐộ tuổi: 20 đến 35Làm việc trong môi trường startupThời gian làm việc: 22h - 7h sáng hôm sau, nghỉ giữa giờ 1 tiếng, từ thứ Hai đến thứ Bảy",https://ybox.vn/tuyen-dung/hcm-cong-ty-tnhh-cong-nghe-block-dance-tuyen-dung-tro-ly-tieng-trung-full-time-2023-658044d151a21846121f0388
"thực tập sinh sales, marketing part-time 2023",công ty nguyen anh holding dự án khởi nghiệp marketing agency ,Không lương,Hà Nội,HẠN CUỐI: 15/6/2024,Bán hàng (Sales),0,Thực tập; Bán thời gian,"YÊU CẦU ỨNG VIÊNKhông yêu cầu kinh nghiệm, bạn sẽ được những anh chị có kinh nghiệm chỉ dẫn tận tình. Tuy nhiên, nếu bạn có kinh nghiệm, đó sẽ là một điểm cộng lớn.Sự kỷ luật và trách nhiệm là chìa khóa để chúng ta hoàn thành mọi dự án một cách xuất sắc.Niềm đam mê học hỏi, tính tự học cao, có khả năng làm việc nhóm và khao khát trải nghiệm lĩnh vực kinh doanh.",https://ybox.vn/tuyen-dung/hn-cong-ty-nguyen-anh-holding-du-an-khoi-nghiep-marketing-agency-tuyen-dung-thuc-tap-sinh-sales-marketing-part-time-2023-657f268247dea76a4d919fc6
thực tập sinh phát triển kinh doanh part-time 2023,công ty nền tảng influencer marketing hiip ,Thỏa thuận,Hồ Chí Minh,DEADLINE: 24/12/2023,Bán hàng (Sales),0,Thực tập; Bán thời gian,"REQUIREMENTS1. Skills: Task management: Know how to keep list of tasks and organize them into deadlines & importanceTask management tool usage: Know or have experience in using tools like Asana, Trello or at least have used an excel/spreadsheet to keep track of tasksCommunication: Know how to use communication tools like emails, skype, viber, zaloPaperwork handling: Know how to use Microsoft word, PDF,… and be able to edit documents to the standard of business documents.Focus ability: Be able to work in an environment with many distractions (noises, discussions,…)2. Mindset:Know that doing small things with proper care is a good start of your careerBe interested in marketing, preferably influencer marketing, and be willing to learn from watching more senior staffLike to ask if unclear",https://ybox.vn/tuyen-dung/hcm-cong-ty-nen-tang-influencer-marketing-hiip-tuyen-dung-thuc-tap-sinh-phat-trien-kinh-doanh-part-time-2023-657fee0550abb61b3f5bb81a
thực tập sinh thiết kế đồ họa full-time 2023,công ty thương mại điện tử onpoint ,Thỏa thuận,Hồ Chí Minh,DEADLINE: 7/1/2024,Thiết kế,0,Thực tập; Toàn thời gian,"REQUIREMENTSIn order to succeed in the role, you should ideally have:Senior, Undergraduate, or Bachelor’s degree in Graphic Design or a related field.Able to work full-time.Photoshop, Illustrator, InDesign, and other skills.Ability to work independently and in a team.",https://ybox.vn/tuyen-dung/hcm-cong-ty-thuong-mai-dien-tu-onpoint-tuyen-dung-thuc-tap-sinh-thiet-ke-do-hoa-full-time-2023-657fdb8e98954919e47292d7
"thực tập sinh content marketing, phân tích thị trường part-time/full-time 2023",công ty enuy corporation ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng; Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR; Business/ Data Analyst, Business Intelligence(Phân Tích Kinh Doanh)",0,Thực tập; Bán thời gian; Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Ưu tiên độ tuổi 18 - 23 (2k5 - 2k)- Yêu thích, có mong muốn phát triển lâu dài trong ngành Marketing. Mong muốn được học hỏi và làm việc trong môi trường trẻ trung, sáng tạo, nhiệt huyết. Mong muốn được làm việc với những người giỏi. - Chủ động, quyết liệt, có tinh thần teamwork cao. Có trách nhiệm với các công việc được giao - Đón nhận, không ngại thử thách, không ngại công việc khó - Ưu tiên các bạn sinh viên chuyên ngành Marketing và các ngành liên quan",https://ybox.vn/tuyen-dung/hn-cong-ty-enuy-corporation-tuyen-dung-thuc-tap-sinh-content-marketing-phan-tich-thi-truong-part-time-full-time-2023-657fc9cde1212812c14f5840
nhân viên designer full-time 2023,học viện kataba ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Thiết kế,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNKinh nghiệm ít nhất 1 năm làm việc trong lĩnh vực thiết kế quảng cáo.Sử dụng thành thạo các công cụ thiết kế đồ họa như Photoshop; AI; PR; AE. Tư duy sáng tạo, khả năng làm việc độc lập và tích cực.Kỹ năng giao tiếp tốt và khả năng làm việc nhóm.",https://ybox.vn/tuyen-dung/hn-hoc-vien-kataba-tuyen-dung-nhan-vien-designer-full-time-2023-657fc27aa05bda0f5f4e1df3
nhân viên thiết kế website ux/ui full-time 2023,tập đoàn giáo dục văn lang ,Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 18/1/2024,Thiết kế,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Tốt nghiệp Đại học chuyên ngành Thiết kế đồ họa, Thiết kế mỹ thuật hoặc các ngành có liên quan là lợi thế. University degree in Graphic Design, Fine Art Design,... or related fields is an advantage. - Có ít nhất 2 năm kinh nghiệm làm việc trong lĩnh vực thiết kế website. At least 2 years of experience working in the field of website design. - Thành thạo các công cụ thiết kế web phổ biến như  Figma, Adobe XD, Photoshop, Illustrator, và có kinh nghiệm thiết kế App là một lợi thế lớn. Proficiency in popular web design tools such as Figma, Adobe XD Photoshop, Illustrator and experience in App design is significantly advantageous. - Có kiến thức và kinh nghiệm về thiết kế giao diện web (UI), trải nghiệm người dùng (UX), các nguyên tắc thiết kế web, các yếu tố thiết kế web, các xu hướng thiết kế website… Have knowledge and experience in web interface design (UI), user experience design (UX), web design principles, web design elements, website design trends... - Có kinh nghiệm về thiết kế website lĩnh vực Education là một lợi thế. Have experience in website design in the field of Education is an advantage. ",https://ybox.vn/tuyen-dung/hcm-tap-doan-giao-duc-van-lang-tuyen-dung-nhan-vien-thiet-ke-website-ux-ui-full-time-2023-658006e8961e28233b275883
nhân viên biên kịch full-time 2023,công ty z holding ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 3/1/2024,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Lập kế hoạch sản xuất nội dung video marketing theo kế hoạch truyền thông - marketing của công ty, tối ưu hiệu suất sản xuất video.- Lên ý tưởng, sáng tạo nội dung, xây dựng kịch bản cho video chạy ads.- Xây dựng các dạng kịch bản cho KOls, KOC, review người dùng, phóng sự nhân vật,...- Theo sát quá trình sản xuất video, làm việc trực tiếp với quay phim và đội ngũ team video, diễn viên, Agency… để hoàn thành dự án một cách tốt nhất.- Thực hiện công việc được giao của phòng Media.",https://ybox.vn/tuyen-dung/hn-cong-ty-z-holding-tuyen-dung-nhan-vien-bien-kich-full-time-2023-6580111c1a34632a92354151
quản lý chuỗi cửa hàng full-time 2023,công ty harufilm vina ,Từ 20 Triệu VNĐ trở lên / Tháng; Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/1/2024,"Hành chính, Nhân sự",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN. Tốt nghiệp Cao Đẳng/ Đại học trở lên. Có ít nhất 3 ~4 năm kinh nghiệm trong lĩnh vực quản lý chuỗi cửa hàng. Cần ứng viên có tinh thần trách nhiệm, tự giác, trung thực, kiên trì, cẩn thận. Có kỹ năng làm việc nhóm, tận tâm, nhanh nhẹn, tự học hỏi. Kiến thức xã hội, kỹ năng mềm, nắm bắt xu hướng, thị hiếu khách hàng.. Tiếng Anh giao tiếp tốt, biết tiếng Hàn là một lợi thế.",https://ybox.vn/tuyen-dung/hn-hcm-cong-ty-harufilm-vina-tuyen-dung-quan-ly-chuoi-cua-hang-full-time-2023-6580090099dd4f241cc2a712
"thực tập sinh content marketing, trưởng nhóm sales full-time 2023",công ty truyền thông 5bit ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/1/2024,"Hành chính, Nhân sự",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTốt nghiệp đại học trở lên. Có ít nhất 1 năm kinh nghiệm ở vị trí tương đương hoặc là nhân viên sale có doanh số cao mong muốn được thử sức tại vị trí mới.Có kỹ năng lãnh đạo và đào tạo nhóm, khả năng nắm bắt tâm lý con người.Kỹ năng giải quyết vấn đề để hỗ trợ nhân viên trong nhóm khi gặp khó khăn trong cuộc gọi.Khả năng tự tạo động lực và chủ động trong công việc.Nhiệt huyết, năng động, giao tiếp tốt, tư duy dịch vụ khách hàng tốt.Có laptop cá nhân để làm việc.",https://ybox.vn/tuyen-dung/hn-cong-ty-truyen-thong-5bit-tuyen-dung-thuc-tap-sinh-content-marketing-truong-nhom-sales-full-time-2023-657fbd6e0a13e40ccb78286e
thực tập sinh ,công ty z holding ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 1/1/2024,"Hành chính, Nhân sự",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNCác bạn sinh viên năm cuối, không vướng lịch học.Học các chuyên ngành về Quản trị Nhân lực, các ngành liên quan, có định hướng lâu dài với nghề Nhân sự.Có Laptop cá nhân.Không yêu cầu kinh nghiệm, chỉ cần chăm chỉ, kiên trì, không cả thèm chóng chán là một lợi thế.",https://ybox.vn/tuyen-dung/hn-cong-ty-z-holding-tuyen-dung-thuc-tap-sinh-tuyen-dung-full-time-2023-65800b812b76eb2512354ecc
họa viên 3d full-time 2023,công ty nội thất cơ bản adp ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 30/12/2023,Thiết kế,0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNThành thạo vẽ 3D Sketchup, khai triển bản vẽ kỹ thuật cơ bản (nếu chưa có kinh nghiệm) công ty sẽ đào tạo thêmAm hiểu kiến thức về vật liệu, cấu tạo các sản phẩm nội thất Kỹ năng mềmKhả năng đọc, hiểu các bản vẽ kỹ thuậtKỹ năng giao tiếp, đàm phán, thuyết phụcChăm chỉ, cầu tiến trong công việcTốt nghiệp Trung cấp, Cao đẳng hoặc Đại học chuyên ngành diễn họa xây dựng/ nội thất",https://ybox.vn/tuyen-dung/hn-cong-ty-noi-that-co-ban-adp-tuyen-dung-hoa-vien-3d-full-time-2023-657fe832830a3d1bfd1c959d
"part-time/ full-time: thực tập sinh tâm lý, trợ lý chương trình, kế toán hành chính, cán bộ dự án, cán bộ chương trình, cán bộ giám sát nghiên cứu 2024 (có thể đi làm sau tết)",doanh nghiệp xã hội hải đăng ,Thỏa thuận; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 19/1/2024,"Hành chính, Nhân sự; Khác",0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTiêu chí tuyển dụngTốt nghiệp Đại học/Cao đẳng;Ưu tiên có kinh nghiệm triển khai, và/hoặc hỗ trợ các dự án cộng đồng (đặc biệt dành cho cộng đồng LGBTI+ hoặc/và chương trình can thiệp về HIV/AIDS, giảm hại sử dụng chất);Có kỹ năng biên soạn báo cáo hoạt động/ dự án bao gồm tiến độ, chỉ số, kết quả, tác động, mô tả trường hợp v.vCó kỹ năng giao tiếp và xây dựng mạng lưới tốt;Có khả năng thuyết trình và trình bày trước đám đông;Thành thạo sử dụng máy tính và phần mềm tin học (Word, Excel, PPT);Có khả năng làm việc độc lập, tự học hỏi và làm việc theo nhóm;Chủ động, trách nhiệm, nhiệt tình và hết mình trong công việc;Có thái độ thân thiện và tôn trọng với cộng đồng LGBTI+, người có nguy cơ và đang sống chung với HIV;Ưu tiên (Không bắt buộc)Ưu tiên tốt nghiệp một trong các ngành Y tế, Dược, Khoa học xã hội;Có đam mê làm việc về các vấn đề sức khoẻ cộng đồng, HIV/AIDS, Giảm hại sử dụng chất, sức khoẻ tình dục;Có kinh nghiệm tham gia vào các tiến trình vận động, góp ý chính sách;Có khả năng sử dụng tiếng Anh;Ứng viên thuộc cộng đồng LGBTI+ được khuyến khích ứng tuyển.",https://ybox.vn/tuyen-dung/hn-doanh-nghiep-xa-hoi-hai-dang-tuyen-dung-part-time-full-time-thuc-tap-sinh-tam-ly-tro-ly-chuong-trinh-ke-toan-hanh-chinh-can-bo-du-an-can-bo-chuong-trinh-can-bo-giam-sat-nghien-cuu-2024-co-the-di-lam-sau-tet-657fd3a177fc751676f9c5ff
nhân viên livestream part-time/full-time 2023,công ty biubiu star ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),0,Bán thời gian; Toàn thời gian,"YÊU CẦU ỨNG VIÊNKhông cần kinh nghiệm, có kinh nghiệm là một điểm cộng;Có ít nhất 1 năng khiếu (hát, múa, nhảy, kể chuyện,...);Ngoại hình sáng;Năng động, tích cực, chịu khó học hỏi.",https://ybox.vn/tuyen-dung/hcm-cong-ty-biubiu-star-tuyen-dung-nhan-vien-livestream-part-time-full-time-2023-657fbae20457cc0e5488a588
nhân viên phát triển thị trường full-time 2023,công ty topjob ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNa)   Tốt nhiệp ĐH các ngành Quản trị kinh doanh, Kinh doanh quốc tế, Marketing hoặc các ngành liên quan.b)   Yêu thích kinh doanh, ưu tiên kinh nghiệm trong ngành kiến trúc và nội thất hoặc đã từng làm môi giới cho thuê văn phòng .c)   Kinh nghiệm bán hàng cho khách hàng B2B là một lợi thế.d)   Giao tiếp lưu loát, giao tiếp bằng tiếng Anh là một lợi thế.e)   Năng động, có khả năng thương lượng tốt.f)    Chịu được áp lực công việc.g)   Thành thạo kỹ năng vi tính văn phòng, đặc biệt là Word, Excel, Ppt v.v.v",https://ybox.vn/tuyen-dung/hn-cong-ty-topjob-tuyen-dung-nhan-vien-phat-trien-thi-truong-full-time-2023-657fc3ca24fcbc0f3d418c78
nhân viên kinh doanh full-time 2023,công ty adsagency.vn ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 30/12/2023,Bán hàng (Sales),0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNKỹ năng giao tiếp, đàm phán, thuyết phục, bán hàng. Thích học hỏi cái mới, yêu thích kinh doanh, không ngại bị từ chốiThái độ làm việc tích cực, có tinh thần trách nhiệm, nhiệt tình và chủ động trong công việcHiểu biết về lĩnh vực Marketing online, Pr. Biết căn bản về Google Ads + Facebook Ads.Sử dụng thành thạo Microsoft word, Excel, Email. Có kinh nghiệm Direct sale làm việc trực tiếp với khách hàng Có Laptop cá nhân để làm việc",https://ybox.vn/tuyen-dung/hcm-cong-ty-adsagency-vn-tuyen-dung-nhan-vien-kinh-doanh-full-time-2023-657fc3d578dca80e850d46ca
nhân viên kinh doanh digital marketing full-time 2023,công ty onelink việt nam ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN• Làm giờ hành chính từ thứ 2 đến thứ 6 (8h15 – 17h30) và sáng thứ 7 (8h15-12h).• Có laptop cá nhân.• Có tinh thần cầu tiến, chăm chỉ.• Năng động, thích ứng nhanh với công việc.• Có khả năng đàm phán, thuyết phục là một lợi thế.• Không yêu cầu kinh nghiệm (được đào tạo) ",https://ybox.vn/tuyen-dung/hn-cong-ty-onelink-viet-nam-tuyen-dung-nhan-vien-kinh-doanh-digital-marketing-full-time-2023-657faa3ceae51308b0ff97b0
nhân viên photograph full-time 2023,công ty trang sức bạc blue peach ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 7/1/2024,Thiết kế,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN1. Độ tuổi/ giới tính- Ưu tiên ứng viên Nữ- Các bạn trẻ trong độ tuổi năm sinh 1998 - 20022. Thái độ- Tỉ mỉ, cẩn thận, chỉn chu- Nhiệt tình, năng nổ, hòa đồng, cởi mở- Luôn sẵn sàng lắng nghe và tiếp thu ý kiến3. Chuyên môn- Có kinh nghiệm chụp ảnh sản phẩm, trang sức, phụ kiện - các sản phẩm nhỏ đến rất nhỏ- Có thẩm mỹ tốt, sáng tạo- Thành thạo các công cụ chỉnh sửa hình ảnh4. Thiết bị- Công ty có sẵn thiết bị, máy ảnh, đèn, phụ kiện chụp…- Yêu cầu tự chuẩn bị laptop cá nhân",https://ybox.vn/tuyen-dung/hn-cong-ty-trang-suc-bac-blue-peach-tuyen-dung-nhan-vien-photograph-full-time-2023-657f9ed2b66197078677278a
thực tập sinh kế toán full-time 2023,công ty thế giới số digiworld ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng; Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 18/1/2024,"Kế toán, Kiểm toán",0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊNSinh viên năm cuối hoặc mới tốt nghiệp Đại Học/Cao Đẳng chuyên ngành Kế toánƯu tiên ứng viên từng có kinh nghiệm liên quan đến kế toán, hóa đơn, chứng từ...Sử dụng tiếng Anh (Đọc - Viết)Thành thạo tin học văn phòng: Word, Excel,..Xử lý vấn đề Logic, nhanh nhạy về số liệuChủ động trong công việc & học tậpTinh thần trách nhiệm cao trong công việcCó thể thực tập toàn thời gian (Fulltime) từ 4 - 6 tháng",https://ybox.vn/tuyen-dung/hn-cong-ty-the-gioi-so-digiworld-tuyen-dung-thuc-tap-sinh-ke-toan-full-time-2023-657fa46322b763052823e1b6
thực tập sinh content marketing part-time 2023,công ty datacare ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 24/12/2023,"Marketing, Truyền Thông, PR",0,Thực tập; Bán thời gian,"YÊU CẦU ỨNG VIÊNCó kinh nghiệm là một lợi thế.Ưu tiên biết sử dụng phần mềm Ai, Ps, Power Point....Hiểu biết cơ bản về nền tảng social media đối với từng ngành, có khả năng viết lách đa lĩnh vực cũng là một lợi thế.Có Laptop để làm việc.Có khả năng chịu áp lực công việc, sáng tạo, có tinh thần trách nhiệm và lắng nghe ý kiến khách hàng.   Đáp ứng thời gian làm việc tối thiểu 8 buổi/tuần từ Thứ 2 - Thứ 6 (được đăng kí thời gian làm việc).",https://ybox.vn/tuyen-dung/hcm-cong-ty-datacare-tuyen-dung-thuc-tap-sinh-content-marketing-part-time-2023-657fc0e7a05bda0f5f4e1d8a
nhân viên nhân viên tư vấn bán hàng part-time/full-time 2023,nhà hàng goocfood ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 27/12/2023,Bán hàng (Sales),0,Bán thời gian; Toàn thời gian,"YÊU CẦU ỨNG VIÊNPart-time: ưu tiên sinh viên, làm được ca tối 17h00 - 21h00Sử dụng tốt ExcelCó kỹ năng chăm sóc khách hàng và tư vấn sản phẩmYêu thích ẩm thực NhậtCó khả năng tạo content marketing (bài viết, clip, short video) và sử dụng nền tảng mạng xã hội tốt.Gần khu vực Trần Não, Quận 2, Tp. Thủ Đức",https://ybox.vn/tuyen-dung/hcm-nha-hang-goocfood-tuyen-dung-nhan-vien-nhan-vien-tu-van-ban-hang-part-time-full-time-2023-657daae5f13d7b03ed74e846
nhân viên livestream part-time/full-time 2023,công ty gooby ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),6 tháng,Toàn thời gian; Bán thời gian,"YÊU CẦU ỨNG VIÊN- Yêu thích và có nhiều kinh nghiệm livestream bán hàng trước đây.- Có định hướng phát triển lâu dài, hợp tác dài hạn.- Ưu tiên ứng viên đã từng hợp tác với nhiều ngành hàng, thương hiệu khác nhau.- Có khả năng nắm bắt các xu hướng trên mạng xã hội.- Kỹ năng giao tiếp tốt bao gồm tương tác với người xem và tương tác với sản phẩm.- Tự tin, hoạt ngôn trước ống kính, ứng biến linh hoạt theo tình huống.- Có tinh thần trách nhiệm, vui vẻ, hoà đồng, ưu tiên có khiếu hài hước.- Giọng nói lưu loát, dễ nghe, không nói ngọng, không nói giọng địa phương.",https://ybox.vn/tuyen-dung/hn-cong-ty-gooby-tuyen-dung-nhan-vien-livestream-part-time-full-time-2023-657ea093db508f4437934db2
"trợ lý giám đốc, nhân viên thiết kế bao bì tem nhãn, phó phòng quản lý chất lượng, trưởng phòng tài chính, marketing full-time 2023",công ty in nhật hàn ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/1/2024,Thiết kế,0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNv Tốt nghiệp cao đẳng, đại học chuyên ngành thiết kế đồ họa.v Kỹ năng sử dụng tin học văn phòng tốt.v Biết sử dụng phần mềm thiết kế cơ bản Photoshop, AI (Adobe Illutrator)v Có khả năng tư duy, sáng tạo tốt, ham học hỏiv Ưu tiên có kinh nghiệm ở vị trí tương đương",https://ybox.vn/tuyen-dung/hn-cong-ty-in-nhat-han-tuyen-dung-tro-ly-giam-doc-nhan-vien-thiet-ke-bao-bi-tem-nhan-pho-phong-quan-ly-chat-luong-truong-phong-tai-chinh-marketing-full-time-2023-657d73197711da728673ea76
thực tập sinh/chuyên viên phân tích thương hiệu và xử lý khủng hoảng truyền thông full-time 2023,công ty truyền thông và công nghệ icomm việt nam ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 20/1/2024,"Marketing, Truyền Thông, PR; Business/ Data Analyst, Business Intelligence(Phân Tích Kinh Doanh)",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊN1. Có mong muốn/ định hướng làm phân tích dữ liệu/ nghiên cứu thị trường theo thiên hướng marketing/truyền thông2. Chăm chỉ, cần thận, trung thực3. Tư duy logic, có khả năng tự học & chủ động giải quyết vấn đề4. Làm việc nhóm tốt5. Làm được fulltime, có laptop cá nhân",https://ybox.vn/tuyen-dung/hn-cong-ty-truyen-thong-va-cong-nghe-icomm-viet-nam-tuyen-dung-thuc-tap-sinh-chuyen-vien-phan-tich-thuong-hieu-va-xu-ly-khung-hoang-truyen-thong-full-time-2023-657d21b6b3f5e74e7d07ffd7
thực tập sinh digital marketing full-time 2023,công ty halocom agency ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 15/1/2024,"Marketing, Truyền Thông, PR",0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊNKhông yêu cầu kinh nghiệm;Có thể làm việc full-time trong ít nhất 4-6 tháng;Có kiến thức về Marketing/Digital Marketing;Có kỹ năng quản lý nhóm hiệu quả;Có kỹ năng quản lý dự án xuất sắc và khả năng đa nhiệm tốt;Có kỹ năng giải quyết vấn đề vượt trội;Có khả năng phân tích và xử lý dữ liệu;Có kỹ năng đàm phán xuất sắc;Có định hướng làm việc lâu dài tại Halocom, ít nhất 1 năm sau khi kết thúc thời gian Intern.",https://ybox.vn/tuyen-dung/hcm-cong-ty-halocom-agency-tuyen-dung-thuc-tap-sinh-digital-marketing-full-time-2023-657d86daee84e878fe7f9afb
nhân viên media planner (brand marketing) full-time 2023,công ty quảng cáo trực tuyến 24h ,Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Ít nhất 1-2 năm kinh nghiệm ở mảng Media Planning hoặc Digital Marketing trên kênh quảng cáo trực tuyến; Ưu tiên ứng viên có kinh nghiệm marketing thương hiệu cho các sản phẩm online, phát triển thương hiệu & truyền thông doanh nghiệp.- Am hiểu về sản phẩm quảng cáo trực tuyến;- Tự tin, chủ động, nhạy bén trong công việc;- Tư duy logic, khả năng phân tích, tổng hợp dữ liệu;- Kỹ năng giao tiếp, thuyết trình và đàm phát tốt- Tiếng Anh tương đương TOEIC 800 hoặc IELTS 6.5 trở lên, giao tiếp & xử lý email tiếng Anh thành thạo.- Sử dụng thành thạo Powerpoint, Excel khi xây dựng Plan/Proposal Khách hàng (Ứng viên gửi kèm Plan/Proposal đã thực hiện);",https://ybox.vn/tuyen-dung/hcm-cong-ty-quang-cao-truc-tuyen-24h-tuyen-dung-nhan-vien-media-planner-brand-marketing-full-time-2023-657c0c18b232d76f29e8190f
